maxTime,moves,ProfundidadIterativa2time,ProfundidadlenSolution,AscensoColinaSimple1lenClosed,ProfundidadIterativa2lenOpened,ProfundidadLimitadatime,BidireccionallenOpened,AscensoColinaSimple1time,Bidireccionaltime,ProfundidadIterativa2lenClosed,AscensoColinaMaximaPendiente1time,ProfundidadlenClosed,ProfundidadIterativalenOpened,AscensoColinaMaximaPendiente1lenSolution,ProfundidadlenOpened,ProfundidadIterativatime,AscensoColinaSimple1lenOpened,ProfundidadIterativa2lenSolution,Anchuratime,AscensoColinaSimple1lenSolution,ProfundidadIterativalenSolution,Profundidadtime,AnchuralenClosed,ProfundidadLimitadalenClosed,AnchuralenSolution,BidireccionallenClosed,AscensoColinaMaximaPendiente1lenClosed,ProfundidadLimitadalenSolution,AscensoColinaMaximaPendiente1lenOpened,ProfundidadLimitadalenOpened,BidireccionallenSolution,ProfundidadIterativalenClosed,AnchuralenOpened,Voraz1lenClosed,AStar1time,AscensoColinaMaximaPendiente2time,AscensoColinaSimple2lenSolution,Voraz2lenSolution,AStar2time,Voraz1time,AscensoColinaMaximaPendiente2lenSolution,AscensoColinaSimple2lenClosed,AStar1lenClosed,AStar2lenOpened,AscensoColinaSimple2time,Voraz2time,AStar2lenSolution,Voraz1lenSolution,AStar1lenOpened,Voraz2lenOpened,AscensoColinaSimple2lenOpened,Voraz1lenOpened,AStar1lenSolution,AStar2lenClosed,AscensoColinaMaximaPendiente2lenClosed,Voraz2lenClosed,AscensoColinaMaximaPendiente2lenOpened,AscensoColinaMaximaPendiente3lenClosed,AscensoColinaSimple3lenClosed,AStar3lenOpened,Voraz3lenOpened,AStar3time,AscensoColinaMaximaPendiente3lenOpened,AscensoColinaSimple3lenSolution,Voraz3lenClosed,AStar3lenSolution,AscensoColinaSimple3time,AscensoColinaMaximaPendiente3time,AStar3lenClosed,Voraz3time,Voraz3lenSolution,AscensoColinaMaximaPendiente3lenSolution,AscensoColinaSimple3lenOpened,VorazBidireccional1lenClosed,VorazBidireccional2lenSolution,VorazBidireccional2time,VorazBidireccional2lenOpened,VorazBidireccional1lenOpened,VorazBidireccional2lenClosed,VorazBidireccional3lenSolution,VorazBidireccional3lenOpened,VorazBidireccional3lenClosed,VorazBidireccional3time,VorazBidireccional1time,VorazBidireccional1lenSolution,IDAStar2lenClosed,IDAStar2time,AStar2maxMemory,Voraz3maxMemory,ProfundidadIterativa2maxMemory,AStar1maxMemory,AnchuramaxMemory,ProfundidadIterativamaxMemory,AscensoColinaSimple1maxMemory,AscensoColinaMaximaPendiente3maxMemory,Voraz2maxMemory,AscensoColinaMaximaPendiente1maxMemory,AscensoColinaMaximaPendiente2maxMemory,AscensoColinaSimple3maxMemory,IDAStar2lenOpened,IDAStar2maxMemory,IDAStar2lenSolution,ProfundidadLimitadamaxMemory,VorazBidireccional1maxMemory,VorazBidireccional3maxMemory,BidireccionalmaxMemory,ProfundidadmaxMemory,AscensoColinaSimple2maxMemory,AStar3maxMemory,Voraz1maxMemory,VorazBidireccional2maxMemory,IDAStar3lenClosed,IDAStar1maxMemory,IDAStar1lenSolution,IDAStar1time,IDAStar3time,IDAStar1lenOpened,IDAStar1lenClosed,IDAStar3lenSolution,IDAStar3maxMemory,IDAStar3lenOpened,ProfundidadIterativaEBF,AnchuraEBF,AscensoColinaMaximaPendiente1EBF,Voraz1EBF,Voraz2EBF,AStar1EBF,VorazBidireccional1EBF,IDAStar3EBF,ProfundidadEBF,IDAStar2EBF,ProfundidadIterativa2EBF,AscensoColinaSimple3EBF,AStar2EBF,Voraz3EBF,AscensoColinaSimple2EBF,BidireccionalEBF,ProfundidadLimitadaEBF,AStar3EBF,VorazBidireccional2EBF,IDAStar1EBF,AscensoColinaMaximaPendiente3EBF,VorazBidireccional3EBF,AscensoColinaSimple1EBF,AscensoColinaMaximaPendiente2EBF
20,"[8, 9]",0.06522107124328613,inf,1,72,20.001089811325073,17,0.004195213317871094,0.016076087951660156,6,0.007039546966552734,5622,83,inf,54298,0.05609130859375,23,2,0.031453609466552734,inf,2,21.51870083808899,8,5434,2,2,2,inf,22,54251,2,7,70,3,0.013287544250488281,0.007776498794555664,inf,2,0.013585805892944336,0.02070307731628418,inf,1,3,21,0.009966611862182617,0.011949539184570312,2,2,21,21,23,21,2,3,2,3,22,2,1,113,21,0.04766511917114258,22,inf,3,2,0.007685184478759766,0.004389762878417969,14,0.011512517929077148,2,inf,23,2,2,0.04055905342102051,17,17,2,2,17,2,0.02116870880126953,0.010396957397460938,2,0,0.005387783050537109,189104,193596,26696,188200,652288,23944,31560,31824,194484,31824,31824,31560,13,24784,2,226032,161172,160516,162068,485519840,31560,1009752,193596,164360,59,23592,2,0.00909280776977539,0.12492036819458008,25,1,2,30824,670,8.947221813845593,8.289197915623474,inf,4.3218253804964775,4.3218253804964775,4.3218253804964775,3.7720018726587656,26.48610753702727,inf,3.0,8.289197915623474,inf,4.3218253804964775,4.3218253804964775,inf,3.7720018726587656,inf,10.736102527122116,3.7720018726587656,4.524937810560445,inf,3.7720018726587656,inf,inf
60,"[8, 7, 3, 5, 7, 11]",60.000386238098145,inf,1,152690,60.00110101699829,1859,0.010322093963623047,4.39101767539978,15301,0.011239290237426758,15193,151987,inf,146691,60.00023818016052,26,inf,63.8127224445343,inf,inf,64.1446053981781,15637,14171,inf,221,3,inf,33,141440,6,15229,130947,4577,41.80955481529236,0.007187366485595703,inf,inf,0.3083951473236084,61.304152727127075,inf,1,554,411,0.006563901901245117,61.355952978134155,6,inf,4889,42676,27,43910,6,45,3,4556,33,4,1,5716,43088,60.319506883621216,44,inf,4520,inf,0.007163286209106445,0.014778614044189453,654,61.29257082939148,inf,inf,29,942,6,0.34410929679870605,149,9080,16,inf,9159,962,60.4767689704895,60.498270988464355,inf,101,0.19134831428527832,3632600,388068864,54168,43414504,1186800324,46508,47408,70856,385024164,63016,39256,71096,1157,53544,6,224960,81809308,82611592,16925304,1314463364,39256,50803128,395232668,1355392,48816,53200,6,9.643779277801514,60.000218629837036,90186,8191,inf,45672,537056,inf,inf,inf,inf,inf,3.997670300065865,inf,inf,inf,3.0775017774410602,inf,inf,2.5545290433719137,inf,inf,3.369291282669048,inf,inf,2.1054338861375315,6.611168730646953,inf,inf,inf,inf
20,"[7, 1]",0.0003914833068847656,0,0,0,0.0003876686096191406,2,0.0008761882781982422,0.001773834228515625,0,0.0008919239044189453,0,0,0,0,0.0003180503845214844,0,0,0.0003268718719482422,0,0,0.00022101402282714844,0,0,0,0,0,0,0,0,0,0,1,1,0.0010249614715576172,0.0011816024780273438,0,0,0.0011451244354248047,0.0011446475982666016,0,0,1,0,0.0010528564453125,0.0007355213165283203,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0016713142395019531,0,0,1,0,0.0008778572082519531,0.0009913444519042969,1,0.0011060237884521484,0,0,0,0,0,0.004883527755737305,2,2,0,0,2,0,0.0021610260009765625,0.0018506050109863281,0,0,0.0011966228485107422,10160,9608,881,9600,812,881,9560,9608,19355,9560,10120,9608,1,10120,0,881,17456,16640,17621,656,10120,9648,9560,19886,0,9560,0,0.0015742778778076172,0.0009658336639404297,1,0,0,9608,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,"[7, 11]",0.0937037467956543,inf,1,114,20.00114130973816,15,0.009727239608764648,0.00972890853881836,10,0.008498191833496094,5656,125,inf,54626,0.05706143379211426,25,2,0.06280851364135742,inf,2,21.522654056549072,12,5405,2,2,2,inf,22,53976,2,11,98,3,0.015996694564819336,0.009818077087402344,inf,2,0.013669490814208984,0.011807441711425781,inf,1,3,21,0.008107185363769531,0.01460576057434082,2,2,21,21,25,21,2,3,2,3,22,2,1,83,21,0.05595850944519043,22,inf,3,2,0.007570743560791016,0.004858255386352539,10,0.011782169342041016,2,inf,25,2,2,0.017469406127929688,15,15,2,2,15,2,0.0196840763092041,0.009930610656738281,2,0,0.005681276321411133,195904,201068,26696,195680,910464,23944,31432,31616,201348,31616,31616,31432,15,24328,2,226032,142684,142028,143988,488422076,31432,738024,201068,145872,28,23072,2,0.007453203201293945,0.04466080665588379,27,1,2,23072,329,11.129703349613008,9.952272480183437,inf,4.3218253804964775,4.3218253804964775,4.3218253804964775,3.531128874149275,18.374586088176873,inf,3.274917217635375,10.60180165558726,inf,4.3218253804964775,4.3218253804964775,inf,3.531128874149275,inf,9.104686356149273,3.531128874149275,4.720153254455275,inf,3.531128874149275,inf,inf
40,"[7, 1, 11, 10]",0.061573028564453125,88,0,99,40.000736236572266,23,0.00513005256652832,0.010772228240966797,8,0.003235340118408203,88,110,2,853,0.05411410331726074,0,2,0.06969785690307617,2,2,0.44823360443115234,9,7748,2,2,0,inf,0,77351,2,9,91,3,0.015589237213134766,0.004105806350708008,2,2,0.009620904922485352,0.009569406509399414,2,0,3,21,0.005998134613037109,0.01007986068725586,2,2,21,21,0,21,2,3,0,3,0,0,0,115,450,0.12608623504638672,0,inf,48,2,0.007707357406616211,0.006331205368041992,13,0.2532320022583008,2,inf,0,2,2,0.011708498001098633,23,23,2,2,23,2,0.011629819869995117,0.014123678207397461,2,0,0.006583690643310547,226649,4099276,47791,225677,849464,36298,66094,86858,243413,71476,72241,84696,3,79785,2,262516,227832,236108,242927,7651957,69089,1053928,244072,233899,19,72882,2,0.005138874053955078,0.07013511657714844,3,0,6,153286,7,,,,,,,,,,,,,,,,,,,,,,,,
20,"[6, 8]",0.023905515670776367,inf,0,46,20.000829696655273,13,0.006247282028198242,0.008685827255249023,4,0.005594491958618164,4176,57,inf,40339,0.026082277297973633,0,2,0.0575714111328125,inf,2,21.42635464668274,5,3761,2,2,0,inf,0,37568,2,5,50,3,0.008945703506469727,0.010667800903320312,inf,2,0.01625227928161621,0.010323047637939453,inf,0,3,21,0.006353855133056641,0.010233402252197266,2,2,21,21,0,21,2,3,0,3,0,0,0,115,512,0.12290143966674805,0,inf,55,2,0.0032575130462646484,0.0065076351165771484,13,0.31046056747436523,2,inf,0,2,2,0.006669282913208008,13,13,2,2,13,2,0.006623983383178711,0.01059103012084961,2,0,0.0024385452270507812,227681,4655176,49201,224543,473125,36146,61288,61360,234853,65888,66125,56912,3,73024,2,259315,145562,154716,141414,361271259,63793,1061040,233608,153365,159,130470,2,0.6948156356811523,0.6555418968200684,3,211,6,169976,7,,,,,,,,,,,,,,,,,,,,,,,,
20,"[6, 5]",0.0050945281982421875,inf,0,12,20.000900983810425,13,0.0032808780670166016,0.007963895797729492,0,0.0029866695404052734,4073,23,2,39345,0.010960578918457031,0,2,0.029177427291870117,2,2,21.395668268203735,1,3661,2,2,0,inf,0,36568,2,1,22,3,0.01453709602355957,0.003393888473510742,2,2,0.016051530838012695,0.011913537979125977,2,0,3,30,0.003797292709350586,0.01289510726928711,2,2,21,21,0,21,2,4,0,3,0,0,0,21,21,0.008930683135986328,0,2,3,2,0.0033409595489501953,0.003022432327270508,3,0.01195526123046875,2,2,0,2,2,0.006884336471557617,13,13,2,2,13,2,0.007085084915161133,0.007761478424072266,2,0,0.003881216049194336,325269,232193,45333,238283,211145,34568,51854,56914,232858,56356,56663,54792,3,85253,2,259300,171964,172514,139836,352434777,54169,238935,229031,172209,0,116103,6,0.01062321662902832,0.016952991485595703,7,0,16,198434,17,,,,,,,,,,,,,,,,,,,,,,,,
20,"[6, 3]",0.039243459701538086,inf,0,79,20.00114107131958,13,0.0054798126220703125,0.0082855224609375,7,0.005557537078857422,4063,90,inf,39248,0.040627479553222656,0,2,0.060195207595825195,inf,2,21.37870454788208,8,3707,2,2,0,inf,0,37019,2,8,77,3,0.00902247428894043,0.006430149078369141,inf,2,0.010146617889404297,0.013685464859008789,inf,0,3,21,0.0037889480590820312,0.010506153106689453,2,2,21,21,0,21,2,3,0,3,0,0,0,31,31,0.016848325729370117,0,inf,4,2,0.0032863616943359375,0.007137298583984375,4,0.01603412628173828,2,inf,0,2,2,0.00995182991027832,13,13,2,2,13,2,0.0067996978759765625,0.008124828338623047,2,0,0.007008075714111328,238678,321009,47808,237936,719748,34600,59582,57252,232716,64197,57016,55227,3,28438,2,262509,171818,172231,139836,351565706,54580,326481,231303,171988,167,124218,2,0.2008507251739502,0.5823342800140381,3,63,6,140039,7,,,,,,,,,,,,,,,,,,,,,,,,
80,"[6, 2, 6, 1, 9, 5, 3, 4]",80.00044012069702,inf,0,87979,80.00193572044373,4014,0.013379573822021484,80.66551184654236,8815,0.01090860366821289,9407,90750,inf,90836,80.00089836120605,0,inf,83.69888138771057,inf,inf,84.0928590297699,9323,8232,inf,478,0,inf,0,82184,inf,9092,78073,1847,80.27110362052917,0.00964498519897461,inf,inf,68.34822392463684,80.98391008377075,inf,0,271,2420,0.009560346603393555,80.96755003929138,8,inf,2554,17357,0,17744,inf,266,0,1831,0,0,0,2572,17635,80.23891854286194,0,inf,1855,inf,0.016028642654418945,0.008543252944946289,276,80.83913898468018,inf,inf,0,440,inf,80.1946165561676,4136,4174,436,inf,4096,432,80.46802353858948,80.55599188804626,inf,303,3.1741600036621094,21456313,158116030,77928,22505438,709253788,69489,54192,79283,156123166,71765,64266,92001,9,117312,8,251037,37593679,36900415,36401830,812984859,51264,22681999,158923067,37253242,20565,217824,inf,80.00065112113953,80.00062417984009,17,12013,inf,223708,15,,,,,,,,,,,,,,,,,,,,,,,,
70,"[5, 9, 1, 9, 6, 3, 0]",70.00091624259949,inf,0,76234,70.00134229660034,3696,0.016883134841918945,70.43806314468384,7639,0.0107269287109375,8045,79533,inf,77688,70.0007107257843,0,inf,73.82888841629028,inf,inf,73.66212868690491,8098,7172,inf,440,0,inf,0,71596,inf,7968,67815,1724,70.12195897102356,0.01236414909362793,inf,inf,70.254399061203,70.89092516899109,inf,0,261,2401,0.018283605575561523,70.887690782547,inf,inf,2470,15928,0,16502,inf,267,0,1693,0,0,0,2394,16296,70.2810275554657,0,inf,1717,inf,0.01652836799621582,0.013885974884033203,254,70.82930374145508,inf,inf,0,410,inf,70.81315898895264,3921,3863,416,inf,3921,416,70.77247881889343,70.23632073402405,inf,64,3.67576265335083,21314948,146157028,78503,21759193,614534707,65338,54016,72458,143408414,72142,64769,84882,8,118260,7,252342,34824123,35346682,33533927,695854800,62662,21093245,147891445,35343765,17918,213752,inf,70.00048637390137,70.00072884559631,16,10411,inf,266065,22,,,,,,,,,,,,,,,,,,,,,,,,
